
iter 0: loss 7.4320, time 10319.77ms, mfu -100.00%
iter 60: loss 2.8155, time 1193.36ms, mfu 5.49%
iter 61: loss 2.8106, time 1191.38ms, mfu 5.49%
iter 62: loss 2.7809, time 1194.28ms, mfu 5.49%
iter 63: loss 2.8054, time 1192.57ms, mfu 5.49%
iter 64: loss 2.7919, time 1194.67ms, mfu 5.49%
iter 65: loss 2.7359, time 1192.97ms, mfu 5.49%
iter 66: loss 2.6916, time 1196.26ms, mfu 5.49%
iter 67: loss 2.7280, time 1192.05ms, mfu 5.49%
iter 68: loss 2.7136, time 1194.55ms, mfu 5.49%
iter 69: loss 2.7191, time 1193.32ms, mfu 5.49%
iter 70: loss 2.7054, time 1193.88ms, mfu 5.49%
iter 71: loss 2.7543, time 1193.45ms, mfu 5.49%
iter 72: loss 2.6774, time 1193.30ms, mfu 5.49%
iter 73: loss 2.7567, time 1196.22ms, mfu 5.49%
iter 74: loss 2.7271, time 1194.36ms, mfu 5.49%
iter 75: loss 2.7275, time 1193.84ms, mfu 5.49%
iter 76: loss 2.6639, time 1194.75ms, mfu 5.49%
iter 77: loss 2.6125, time 1192.26ms, mfu 5.49%
iter 78: loss 2.6332, time 1196.05ms, mfu 5.49%
iter 79: loss 2.6479, time 1192.20ms, mfu 5.49%
iter 80: loss 2.6376, time 1194.54ms, mfu 5.49%
iter 81: loss 2.6486, time 1192.80ms, mfu 5.49%
iter 82: loss 2.7048, time 1195.44ms, mfu 5.49%
iter 83: loss 2.5631, time 1193.32ms, mfu 5.49%
iter 84: loss 2.6044, time 1196.42ms, mfu 5.49%
iter 85: loss 2.6400, time 1191.33ms, mfu 5.49%
iter 86: loss 2.6391, time 1194.93ms, mfu 5.49%
iter 87: loss 2.5557, time 1195.47ms, mfu 5.49%
iter 88: loss 2.5636, time 1194.99ms, mfu 5.49%
iter 89: loss 2.5889, time 1193.35ms, mfu 5.49%
iter 90: loss 2.5943, time 1194.61ms, mfu 5.49%
iter 91: loss 2.5125, time 1193.99ms, mfu 5.49%
iter 92: loss 2.6119, time 1197.66ms, mfu 5.48%
iter 93: loss 2.5939, time 1192.43ms, mfu 5.48%
iter 94: loss 2.5092, time 1197.02ms, mfu 5.48%
iter 95: loss 2.5621, time 1191.41ms, mfu 5.49%
iter 96: loss 2.5262, time 1196.43ms, mfu 5.48%
iter 97: loss 2.4999, time 1191.44ms, mfu 5.49%
iter 98: loss 2.4713, time 1193.06ms, mfu 5.49%
iter 99: loss 2.5387, time 1193.63ms, mfu 5.49%
iter 100: loss 2.5625, time 4531.65ms, mfu 5.08%
iter 101: loss 2.5811, time 1190.03ms, mfu 5.12%
iter 102: loss 2.5532, time 1192.41ms, mfu 5.16%
iter 103: loss 2.4800, time 1193.81ms, mfu 5.19%
iter 104: loss 2.4259, time 1196.46ms, mfu 5.22%
iter 105: loss 2.5818, time 1190.01ms, mfu 5.25%
iter 106: loss 2.4465, time 1192.66ms, mfu 5.27%
iter 107: loss 2.5458, time 1188.90ms, mfu 5.30%
iter 108: loss 2.3977, time 1195.62ms, mfu 5.32%
iter 109: loss 2.5240, time 1190.77ms, mfu 5.33%
iter 110: loss 2.4494, time 1193.78ms, mfu 5.35%
iter 111: loss 2.4207, time 1194.35ms, mfu 5.36%
iter 112: loss 2.4435, time 1196.02ms, mfu 5.37%
iter 113: loss 2.5030, time 1192.79ms, mfu 5.39%
iter 114: loss 2.4651, time 1194.04ms, mfu 5.40%
iter 115: loss 2.5227, time 1191.08ms, mfu 5.41%
iter 116: loss 2.4473, time 1191.12ms, mfu 5.42%
iter 117: loss 2.4283, time 1194.68ms, mfu 5.42%
iter 118: loss 2.4143, time 1197.53ms, mfu 5.43%
iter 119: loss 2.3834, time 1194.53ms, mfu 5.43%
iter 120: loss 2.3841, time 1194.94ms, mfu 5.44%
iter 121: loss 2.4990, time 1193.77ms, mfu 5.44%
iter 122: loss 2.4271, time 1190.43ms, mfu 5.45%
iter 123: loss 2.4524, time 1194.29ms, mfu 5.45%
iter 124: loss 2.3864, time 1194.30ms, mfu 5.46%
iter 125: loss 2.4237, time 1190.55ms, mfu 5.46%
iter 126: loss 2.4662, time 1193.96ms, mfu 5.46%
iter 127: loss 2.4015, time 1191.41ms, mfu 5.47%
iter 128: loss 2.4033, time 1193.52ms, mfu 5.47%
iter 129: loss 2.4301, time 1192.68ms, mfu 5.47%
iter 130: loss 2.3526, time 1192.50ms, mfu 5.47%
iter 131: loss 2.2933, time 1192.91ms, mfu 5.48%
iter 132: loss 2.3725, time 1196.44ms, mfu 5.48%
iter 133: loss 2.3948, time 1190.36ms, mfu 5.48%
iter 134: loss 2.3210, time 1197.43ms, mfu 5.48%
iter 135: loss 2.4387, time 1190.78ms, mfu 5.48%
iter 136: loss 2.3587, time 1194.59ms, mfu 5.48%
iter 137: loss 2.4242, time 1192.39ms, mfu 5.48%
iter 138: loss 2.3693, time 1194.13ms, mfu 5.48%
iter 139: loss 2.3880, time 1195.19ms, mfu 5.48%
iter 140: loss 2.4056, time 1194.35ms, mfu 5.48%
iter 141: loss 2.2795, time 1190.13ms, mfu 5.48%
iter 142: loss 2.2995, time 1195.79ms, mfu 5.48%
iter 143: loss 2.3739, time 1193.68ms, mfu 5.48%
iter 144: loss 2.3079, time 1195.17ms, mfu 5.48%
iter 145: loss 2.3707, time 1193.42ms, mfu 5.48%
iter 146: loss 2.4056, time 1193.32ms, mfu 5.48%
iter 147: loss 2.3595, time 1195.70ms, mfu 5.48%
iter 148: loss 2.3500, time 1195.17ms, mfu 5.48%
iter 149: loss 2.3499, time 1190.28ms, mfu 5.49%
iter 150: loss 2.3165, time 1193.54ms, mfu 5.49%
iter 151: loss 2.3322, time 1193.04ms, mfu 5.49%
iter 152: loss 2.3163, time 1197.49ms, mfu 5.48%
iter 153: loss 2.3340, time 1190.81ms, mfu 5.49%
iter 154: loss 2.4327, time 1198.10ms, mfu 5.48%
iter 155: loss 2.3084, time 1192.61ms, mfu 5.49%
iter 156: loss 2.3078, time 1194.50ms, mfu 5.49%
iter 157: loss 2.2908, time 1194.45ms, mfu 5.49%
iter 158: loss 2.3939, time 1193.98ms, mfu 5.49%
iter 159: loss 2.3536, time 1193.31ms, mfu 5.49%
iter 160: loss 2.3962, time 1194.56ms, mfu 5.49%
iter 161: loss 2.3161, time 1191.24ms, mfu 5.49%
iter 162: loss 2.2779, time 1193.48ms, mfu 5.49%
iter 163: loss 2.3671, time 1194.17ms, mfu 5.49%
iter 164: loss 2.4319, time 1195.44ms, mfu 5.49%
iter 165: loss 2.3837, time 1193.24ms, mfu 5.49%
iter 166: loss 2.3064, time 1195.75ms, mfu 5.49%
iter 167: loss 2.2455, time 1191.70ms, mfu 5.49%
iter 168: loss 2.3612, time 1193.70ms, mfu 5.49%
iter 169: loss 2.2649, time 1192.39ms, mfu 5.49%
iter 170: loss 2.2711, time 1196.47ms, mfu 5.49%
iter 171: loss 2.3450, time 1193.12ms, mfu 5.49%
iter 172: loss 2.3012, time 1193.43ms, mfu 5.49%
iter 173: loss 2.2836, time 1191.08ms, mfu 5.49%
iter 174: loss 2.2842, time 1195.80ms, mfu 5.49%
iter 175: loss 2.2642, time 1193.94ms, mfu 5.49%
iter 176: loss 2.2832, time 1193.23ms, mfu 5.49%
iter 177: loss 2.2401, time 1193.70ms, mfu 5.49%
iter 178: loss 2.2468, time 1195.75ms, mfu 5.49%
iter 179: loss 2.3320, time 1192.32ms, mfu 5.49%
iter 180: loss 2.2685, time 1193.57ms, mfu 5.49%
iter 181: loss 2.2191, time 1191.67ms, mfu 5.49%
iter 182: loss 2.2790, time 1195.46ms, mfu 5.49%
iter 183: loss 2.1533, time 1193.64ms, mfu 5.49%
iter 184: loss 2.2991, time 1192.17ms, mfu 5.49%
iter 185: loss 2.3187, time 1194.75ms, mfu 5.49%
iter 186: loss 2.2991, time 1195.81ms, mfu 5.49%
iter 187: loss 2.2227, time 1190.71ms, mfu 5.49%
iter 188: loss 2.2079, time 1195.11ms, mfu 5.49%
iter 189: loss 2.2261, time 1192.89ms, mfu 5.49%
iter 190: loss 2.2211, time 1194.06ms, mfu 5.49%
iter 191: loss 2.2200, time 1195.41ms, mfu 5.49%
iter 192: loss 2.1637, time 1195.17ms, mfu 5.49%
iter 193: loss 2.2115, time 1194.53ms, mfu 5.49%
iter 194: loss 2.1780, time 1194.68ms, mfu 5.49%
iter 195: loss 2.2181, time 1192.23ms, mfu 5.49%
iter 196: loss 2.2279, time 1193.20ms, mfu 5.49%
iter 197: loss 2.1139, time 1191.91ms, mfu 5.49%
iter 198: loss 2.0936, time 1196.15ms, mfu 5.49%
iter 199: loss 2.2060, time 1191.76ms, mfu 5.49%
iter 200: loss 2.2277, time 4549.71ms, mfu 5.08%
iter 201: loss 2.1881, time 1190.35ms, mfu 5.12%
iter 202: loss 2.1996, time 1194.09ms, mfu 5.16%
iter 203: loss 2.2119, time 1191.25ms, mfu 5.19%
iter 204: loss 2.1944, time 1194.67ms, mfu 5.22%
iter 205: loss 2.2319, time 1192.45ms, mfu 5.25%
iter 206: loss 2.0898, time 1194.16ms, mfu 5.27%
iter 207: loss 2.1266, time 1190.57ms, mfu 5.30%
iter 208: loss 2.2173, time 1194.14ms, mfu 5.32%
iter 209: loss 2.2640, time 1192.31ms, mfu 5.33%
iter 210: loss 2.2491, time 1192.08ms, mfu 5.35%
iter 211: loss 2.1439, time 1193.72ms, mfu 5.36%
iter 212: loss 2.0669, time 1193.15ms, mfu 5.38%
iter 213: loss 2.1176, time 1192.97ms, mfu 5.39%
iter 214: loss 2.2127, time 1195.93ms, mfu 5.40%
iter 215: loss 2.0586, time 1191.51ms, mfu 5.41%
iter 216: loss 2.2711, time 1195.04ms, mfu 5.41%
iter 217: loss 2.1733, time 1192.69ms, mfu 5.42%
iter 218: loss 2.1063, time 1195.69ms, mfu 5.43%
iter 219: loss 2.0726, time 1190.68ms, mfu 5.44%
iter 220: loss 2.1960, time 1195.86ms, mfu 5.44%
iter 221: loss 2.1160, time 1193.08ms, mfu 5.44%
iter 222: loss 2.1437, time 1194.23ms, mfu 5.45%
iter 223: loss 2.1250, time 1193.46ms, mfu 5.45%
iter 224: loss 2.1513, time 1197.03ms, mfu 5.45%
iter 225: loss 2.1031, time 1192.61ms, mfu 5.46%
iter 226: loss 2.0534, time 1194.40ms, mfu 5.46%
iter 227: loss 2.1023, time 1191.95ms, mfu 5.46%
iter 228: loss 2.1932, time 1195.29ms, mfu 5.47%
iter 229: loss 2.0667, time 1191.17ms, mfu 5.47%
iter 230: loss 2.0617, time 1196.56ms, mfu 5.47%
iter 231: loss 2.0266, time 1193.33ms, mfu 5.47%
iter 232: loss 2.0571, time 1194.90ms, mfu 5.47%
iter 233: loss 2.2001, time 1190.08ms, mfu 5.48%
iter 234: loss 2.0723, time 1194.81ms, mfu 5.48%
iter 235: loss 1.9317, time 1192.57ms, mfu 5.48%
iter 236: loss 2.1000, time 1195.75ms, mfu 5.48%
iter 237: loss 2.0596, time 1192.47ms, mfu 5.48%
iter 238: loss 2.0016, time 1194.55ms, mfu 5.48%
iter 239: loss 2.1262, time 1190.69ms, mfu 5.48%
iter 240: loss 2.0219, time 1193.21ms, mfu 5.48%
iter 241: loss 2.1586, time 1195.63ms, mfu 5.48%
iter 242: loss 2.1535, time 1193.51ms, mfu 5.48%
iter 243: loss 2.0920, time 1192.38ms, mfu 5.48%
iter 244: loss 2.0074, time 1195.10ms, mfu 5.48%
iter 245: loss 2.0224, time 1192.50ms, mfu 5.48%
iter 246: loss 2.0606, time 1194.84ms, mfu 5.48%
iter 247: loss 2.1318, time 1193.63ms, mfu 5.48%
iter 248: loss 2.0432, time 1196.66ms, mfu 5.48%
iter 249: loss 2.0079, time 1191.30ms, mfu 5.49%
iter 250: loss 2.0152, time 1193.88ms, mfu 5.49%
iter 251: loss 2.0674, time 1195.62ms, mfu 5.48%
iter 252: loss 2.0676, time 1194.57ms, mfu 5.48%
iter 253: loss 1.9349, time 1191.55ms, mfu 5.49%
iter 254: loss 1.9546, time 1195.35ms, mfu 5.49%
iter 255: loss 1.9621, time 1191.94ms, mfu 5.49%
iter 256: loss 2.0170, time 1194.95ms, mfu 5.49%
iter 257: loss 2.0765, time 1191.25ms, mfu 5.49%
iter 258: loss 1.9546, time 1194.90ms, mfu 5.49%
iter 259: loss 2.0362, time 1189.87ms, mfu 5.49%
iter 260: loss 1.9019, time 1193.50ms, mfu 5.49%
iter 261: loss 2.0174, time 1194.09ms, mfu 5.49%
iter 262: loss 2.0035, time 1194.24ms, mfu 5.49%
iter 263: loss 1.9330, time 1191.80ms, mfu 5.49%
iter 264: loss 1.9783, time 1193.54ms, mfu 5.49%
iter 265: loss 1.9461, time 1191.52ms, mfu 5.49%
iter 266: loss 1.9243, time 1195.79ms, mfu 5.49%
iter 267: loss 1.9529, time 1192.66ms, mfu 5.49%
iter 268: loss 2.0458, time 1194.81ms, mfu 5.49%
iter 269: loss 2.0461, time 1194.15ms, mfu 5.49%
iter 270: loss 1.9969, time 1196.18ms, mfu 5.49%
iter 271: loss 2.0410, time 1193.78ms, mfu 5.49%
iter 272: loss 1.9580, time 1194.43ms, mfu 5.49%
iter 273: loss 2.0862, time 1191.46ms, mfu 5.49%
iter 274: loss 2.0685, time 1196.69ms, mfu 5.49%
iter 275: loss 1.9384, time 1193.01ms, mfu 5.49%
iter 276: loss 2.0417, time 1195.88ms, mfu 5.49%
iter 277: loss 1.9302, time 1190.56ms, mfu 5.49%
iter 278: loss 1.9384, time 1193.85ms, mfu 5.49%
iter 279: loss 1.9788, time 1195.42ms, mfu 5.49%
iter 280: loss 2.0010, time 1196.93ms, mfu 5.49%
iter 281: loss 1.8958, time 1190.74ms, mfu 5.49%
iter 282: loss 1.9516, time 1195.81ms, mfu 5.49%
iter 283: loss 1.8675, time 1193.71ms, mfu 5.49%
iter 284: loss 1.8821, time 1197.67ms, mfu 5.48%
iter 285: loss 1.8514, time 1193.88ms, mfu 5.48%
iter 286: loss 1.8726, time 1199.97ms, mfu 5.48%
iter 287: loss 1.7959, time 1191.88ms, mfu 5.48%
iter 288: loss 1.8353, time 1194.38ms, mfu 5.48%
iter 289: loss 2.0023, time 1192.36ms, mfu 5.48%
iter 290: loss 1.7955, time 1194.58ms, mfu 5.48%
iter 291: loss 2.0837, time 1191.14ms, mfu 5.49%
iter 292: loss 1.8713, time 1194.83ms, mfu 5.49%
iter 293: loss 1.9934, time 1191.63ms, mfu 5.49%
iter 294: loss 1.9116, time 1193.86ms, mfu 5.49%
iter 295: loss 1.8608, time 1193.76ms, mfu 5.49%
iter 296: loss 1.9425, time 1195.26ms, mfu 5.49%
iter 297: loss 1.9857, time 1190.61ms, mfu 5.49%
iter 298: loss 1.8389, time 1196.89ms, mfu 5.49%
iter 299: loss 1.8410, time 1193.07ms, mfu 5.49%
iter 300: loss 1.8940, time 4538.12ms, mfu 5.08%
iter 301: loss 1.9274, time 1190.72ms, mfu 5.12%
iter 302: loss 1.9545, time 1195.69ms, mfu 5.16%
iter 303: loss 1.9340, time 1190.68ms, mfu 5.19%
iter 304: loss 1.7280, time 1192.34ms, mfu 5.22%
iter 305: loss 1.7805, time 1193.12ms, mfu 5.25%
iter 306: loss 1.8145, time 1191.61ms, mfu 5.28%
iter 307: loss 1.8684, time 1190.48ms, mfu 5.30%
iter 308: loss 1.9247, time 1191.99ms, mfu 5.32%
iter 309: loss 1.8516, time 1191.88ms, mfu 5.34%
iter 310: loss 1.9143, time 1193.60ms, mfu 5.35%
iter 311: loss 1.8053, time 1192.64ms, mfu 5.36%
iter 312: loss 1.8045, time 1194.05ms, mfu 5.38%
iter 313: loss 1.7243, time 1192.19ms, mfu 5.39%
iter 314: loss 1.7615, time 1194.69ms, mfu 5.40%
iter 315: loss 1.8327, time 1193.14ms, mfu 5.41%
iter 316: loss 1.8531, time 1191.12ms, mfu 5.42%
iter 317: loss 1.6707, time 1196.16ms, mfu 5.42%
iter 318: loss 1.7361, time 1194.67ms, mfu 5.43%
iter 319: loss 1.9751, time 1191.95ms, mfu 5.44%
iter 320: loss 1.8557, time 1194.48ms, mfu 5.44%
iter 321: loss 1.9030, time 1192.47ms, mfu 5.45%
iter 322: loss 1.7961, time 1193.39ms, mfu 5.45%
iter 323: loss 1.7784, time 1192.84ms, mfu 5.45%
iter 324: loss 1.8504, time 1192.89ms, mfu 5.46%
iter 325: loss 1.7386, time 1193.65ms, mfu 5.46%
iter 326: loss 1.7291, time 1193.21ms, mfu 5.46%
iter 327: loss 1.7091, time 1193.25ms, mfu 5.47%
iter 328: loss 1.8097, time 1194.42ms, mfu 5.47%
iter 329: loss 1.8932, time 1192.37ms, mfu 5.47%
iter 330: loss 1.7502, time 1196.53ms, mfu 5.47%
iter 331: loss 1.8638, time 1190.42ms, mfu 5.47%
iter 332: loss 1.8291, time 1193.92ms, mfu 5.48%
iter 333: loss 1.7938, time 1191.25ms, mfu 5.48%
iter 334: loss 1.8140, time 1194.40ms, mfu 5.48%
iter 335: loss 1.7595, time 1193.36ms, mfu 5.48%
iter 336: loss 1.7168, time 1195.24ms, mfu 5.48%
iter 337: loss 1.7443, time 1194.98ms, mfu 5.48%
iter 338: loss 1.9325, time 1194.91ms, mfu 5.48%
iter 339: loss 1.7720, time 1190.22ms, mfu 5.48%
iter 340: loss 1.5226, time 1194.45ms, mfu 5.48%
iter 341: loss 1.7336, time 1192.07ms, mfu 5.48%
iter 342: loss 1.8420, time 1195.33ms, mfu 5.48%
iter 343: loss 1.6411, time 1195.12ms, mfu 5.48%
iter 344: loss 1.6870, time 1194.85ms, mfu 5.48%
iter 345: loss 1.6141, time 1193.03ms, mfu 5.48%
iter 346: loss 1.7235, time 1195.66ms, mfu 5.48%
iter 347: loss 1.7761, time 1190.69ms, mfu 5.49%
iter 348: loss 1.6072, time 1195.36ms, mfu 5.48%
iter 349: loss 1.7337, time 1192.18ms, mfu 5.49%
iter 350: loss 1.6266, time 1195.72ms, mfu 5.48%
iter 351: loss 1.7570, time 1193.58ms, mfu 5.49%
iter 352: loss 1.6367, time 1194.21ms, mfu 5.49%
iter 353: loss 1.8365, time 1190.43ms, mfu 5.49%
iter 354: loss 1.7154, time 1196.48ms, mfu 5.49%
iter 355: loss 1.6703, time 1193.06ms, mfu 5.49%
iter 356: loss 1.7141, time 1195.70ms, mfu 5.49%
iter 357: loss 1.6789, time 1191.48ms, mfu 5.49%
iter 358: loss 1.6674, time 1196.69ms, mfu 5.49%
iter 359: loss 1.6688, time 1193.42ms, mfu 5.49%
iter 360: loss 1.7606, time 1195.26ms, mfu 5.49%
iter 361: loss 1.6082, time 1194.59ms, mfu 5.49%
iter 362: loss 1.8130, time 1193.72ms, mfu 5.49%
iter 363: loss 1.7236, time 1193.45ms, mfu 5.49%
iter 364: loss 1.6692, time 1196.21ms, mfu 5.48%
iter 365: loss 1.6871, time 1192.04ms, mfu 5.49%
iter 366: loss 1.6595, time 1193.47ms, mfu 5.49%
iter 367: loss 1.6273, time 1194.27ms, mfu 5.49%
iter 368: loss 1.6307, time 1193.15ms, mfu 5.49%
iter 369: loss 1.7356, time 1193.63ms, mfu 5.49%
iter 370: loss 1.6671, time 1192.08ms, mfu 5.49%
iter 371: loss 1.7755, time 1194.21ms, mfu 5.49%
iter 372: loss 1.5468, time 1194.62ms, mfu 5.49%
iter 373: loss 1.7090, time 1190.53ms, mfu 5.49%
iter 374: loss 1.7885, time 1195.91ms, mfu 5.49%
iter 375: loss 1.5627, time 1194.35ms, mfu 5.49%
iter 376: loss 1.6828, time 1196.22ms, mfu 5.49%
iter 377: loss 1.5429, time 1192.40ms, mfu 5.49%
iter 378: loss 1.7037, time 1192.05ms, mfu 5.49%
iter 379: loss 1.7161, time 1192.37ms, mfu 5.49%
iter 380: loss 1.5421, time 1195.80ms, mfu 5.49%
iter 381: loss 1.6793, time 1191.53ms, mfu 5.49%
iter 382: loss 1.6176, time 1195.40ms, mfu 5.49%
iter 383: loss 1.5801, time 1191.19ms, mfu 5.49%
iter 384: loss 1.6631, time 1195.34ms, mfu 5.49%
iter 385: loss 1.6591, time 1193.97ms, mfu 5.49%
iter 386: loss 1.6634, time 1196.82ms, mfu 5.49%
iter 387: loss 1.7470, time 1191.29ms, mfu 5.49%
iter 388: loss 1.5083, time 1193.12ms, mfu 5.49%
iter 389: loss 1.6436, time 1196.65ms, mfu 5.49%
iter 390: loss 1.6945, time 1194.53ms, mfu 5.49%
iter 391: loss 1.6085, time 1192.83ms, mfu 5.49%
iter 392: loss 1.6361, time 1195.12ms, mfu 5.49%
iter 393: loss 1.6758, time 1191.10ms, mfu 5.49%
iter 394: loss 1.6388, time 1196.60ms, mfu 5.49%
iter 395: loss 1.5541, time 1190.73ms, mfu 5.49%
iter 396: loss 1.6558, time 1195.39ms, mfu 5.49%
iter 397: loss 1.6504, time 1194.76ms, mfu 5.49%
iter 398: loss 1.7070, time 1193.20ms, mfu 5.49%
iter 399: loss 1.7750, time 1193.32ms, mfu 5.49%
iter 400: loss 1.6136, time 4531.71ms, mfu 5.08%
iter 401: loss 1.7312, time 1188.02ms, mfu 5.13%
iter 402: loss 1.6715, time 1191.57ms, mfu 5.16%
iter 403: loss 1.5979, time 1192.78ms, mfu 5.20%
iter 404: loss 1.6554, time 1195.32ms, mfu 5.22%
iter 405: loss 1.6664, time 1191.57ms, mfu 5.25%
iter 406: loss 1.6193, time 1192.39ms, mfu 5.28%
iter 407: loss 1.5986, time 1190.24ms, mfu 5.30%
iter 408: loss 1.6442, time 1195.14ms, mfu 5.32%
iter 409: loss 1.4052, time 1191.47ms, mfu 5.33%
iter 410: loss 1.5312, time 1196.71ms, mfu 5.35%
iter 411: loss 1.5952, time 1192.90ms, mfu 5.36%
iter 412: loss 1.6351, time 1194.99ms, mfu 5.37%
iter 413: loss 1.6382, time 1193.53ms, mfu 5.39%
iter 414: loss 1.6585, time 1196.75ms, mfu 5.40%
iter 415: loss 1.6409, time 1192.18ms, mfu 5.40%
iter 416: loss 1.6429, time 1192.73ms, mfu 5.41%
iter 417: loss 1.7453, time 1193.80ms, mfu 5.42%
iter 418: loss 1.7155, time 1195.97ms, mfu 5.43%
iter 419: loss 1.5852, time 1191.57ms, mfu 5.43%
iter 420: loss 1.6456, time 1194.70ms, mfu 5.44%
iter 421: loss 1.6064, time 1191.89ms, mfu 5.44%
iter 422: loss 1.6524, time 1195.45ms, mfu 5.45%
iter 423: loss 1.7499, time 1192.49ms, mfu 5.45%
iter 424: loss 1.7557, time 1194.58ms, mfu 5.46%
iter 425: loss 1.7486, time 1190.76ms, mfu 5.46%
iter 426: loss 1.5598, time 1194.42ms, mfu 5.46%
iter 427: loss 1.7568, time 1193.71ms, mfu 5.47%
iter 428: loss 1.4638, time 1196.27ms, mfu 5.47%
iter 429: loss 1.5948, time 1198.67ms, mfu 5.47%
iter 430: loss 1.5246, time 1194.73ms, mfu 5.47%
iter 431: loss 1.6219, time 1193.62ms, mfu 5.47%
iter 432: loss 1.4987, time 1192.37ms, mfu 5.47%
iter 433: loss 1.5854, time 1191.20ms, mfu 5.47%
iter 434: loss 1.5316, time 1196.33ms, mfu 5.47%
iter 435: loss 1.4968, time 1193.52ms, mfu 5.48%
iter 436: loss 1.6999, time 1195.08ms, mfu 5.48%
iter 437: loss 1.5438, time 1189.59ms, mfu 5.48%
iter 438: loss 1.5747, time 1192.40ms, mfu 5.48%
iter 439: loss 1.3751, time 1191.97ms, mfu 5.48%
iter 440: loss 1.5497, time 1193.30ms, mfu 5.48%
iter 441: loss 1.7523, time 1194.04ms, mfu 5.48%
iter 442: loss 1.5297, time 1194.89ms, mfu 5.48%
iter 443: loss 1.5701, time 1191.49ms, mfu 5.48%
iter 444: loss 1.4808, time 1195.31ms, mfu 5.48%
iter 445: loss 1.6517, time 1195.02ms, mfu 5.48%
iter 446: loss 1.4302, time 1197.10ms, mfu 5.48%
iter 447: loss 1.6163, time 1194.88ms, mfu 5.48%
iter 448: loss 1.7187, time 1193.47ms, mfu 5.48%
iter 449: loss 1.5092, time 1190.72ms, mfu 5.49%
